an_rf_ida	an_rf_idb
1	7260
1	10756
1	10757
1	25537
2	7086
2	7087
2	69951
3	7086
3	7087
4	7086
4	7087
5	1625
5	5111
5	5394
11	1351
11	1362
12	9437
12	18910
12	18911
12	19003
12	19004
12	19121
12	21804
12	25691
12	66658
13	2236
13	25552
13	64541
13	77363
14	10786
14	10787
14	17651
14	17654
14	21804
14	22609
14	26621
14	26741
14	26757
14	37117
14	37118
15	1501
15	1502
15	5291
17	1576
17	1578
17	1601
19	13259
19	18126
19	21804
19	46203
25	5476
28	4766
28	5274
28	5275
28	21804
31	1211
31	1214
31	1221
31	5150
31	9028
31	9029
31	9030
31	9031
31	9032
31	9033
31	9036
31	9037
31	9038
31	9039
31	9041
31	12675
31	12692
31	12693
31	12694
31	12697
31	12701
31	12732
31	12733
31	12734
31	12735
31	12736
31	12742
31	12743
31	12745
31	12746
31	12748
31	12751
31	12754
31	12758
31	12781
31	12783
31	12784
31	12786
31	12792
31	12793
31	12794
31	12795
31	12797
31	12798
31	12802
31	12803
31	12804
31	12805
31	12806
31	12807
31	65593
31	70038
31	70067
31	70068
31	70101
31	72598
31	75811
31	75815
31	75816
31	75817
31	75839
31	77338
31	77339
31	77340
31	77341
31	77342
31	77343
31	77371
32	5476
33	7690
33	7691
33	7692
33	7697
33	7698
33	7699
33	7702
33	7703
33	7704
33	7705
33	7708
33	7709
33	11150
33	11151
33	11152
33	19408
33	19409
33	19410
33	19411
33	19412
33	19413
33	19782
33	19783
33	19784
33	19785
33	19786
33	19787
33	19788
33	19789
33	19790
33	19791
33	19792
33	19793
33	19794
33	21804
33	25691
34	2224
34	2227
34	2236
35	13259
35	18168
35	18169
35	18170
35	18171
35	21804
35	46203
35	69938
35	69939
36	431
36	13259
36	18181
36	18182
36	18183
36	18184
36	18185
36	21804
36	25553
36	25554
36	46203
36	69942
36	69943
37	12649
37	12650
37	12651
37	12652
37	12653
37	12654
37	12655
37	12656
37	12657
37	12658
37	12659
37	18152
37	18153
37	18154
37	18155
37	18156
37	21804
37	46203
38	8996
38	13259
38	21804
38	25713
38	46203
38	69940
38	69941
40	4357
40	4365
40	4596
40	4603
40	4607
40	4610
40	4648
40	5363
40	5473
40	10786
40	10787
40	17652
40	17653
40	21804
40	22606
40	22607
40	22608
40	25524
40	26757
40	32795
41	540
41	682
41	754
41	757
41	5363
41	17651
41	17654
41	21804
41	22605
41	22609
41	26621
41	26741
41	37117
41	37118
42	5362
42	21804
42	62031
42	70097
42	78052
44	3145
44	3160
50	3045
50	3061
50	3076
50	3083
50	3116
50	5392
50	18458
50	18459
50	20184
50	20216
50	21803
50	46209
50	62048
50	62049
50	62050
51	2414
51	2416
51	2424
51	5282
51	5284
51	7096
51	22188
51	22190
51	22208
51	69951
52	4880
52	4881
52	4882
52	4883
52	4884
52	4885
52	4886
52	4887
52	4888
52	4889
52	4890
52	21804
58	1990
58	2000
59	20000
59	21804
60	20001
60	20002
60	20003
60	20004
60	21804
62	4894
62	4896
62	5278
62	18553
62	18554
62	18555
62	21804
64	5371
64	67027
64	67028
64	67029
64	67030
64	67031
65	5370
65	5372
66	5371
69	5391
69	5572
69	5573
69	5575
69	5581
69	22148
69	25637
70	5574
70	6993
70	6994
70	6995
70	6996
70	7072
70	7076
70	7277
70	7279
70	10199
70	10200
70	13141
70	17743
70	17758
70	17782
71	5391
71	17743
71	17758
71	17782
72	5278
73	4880
73	4881
73	4882
73	4883
73	4884
73	4885
73	4886
73	4887
73	4888
73	4889
73	4890
74	5274
74	5275
75	5364
75	5365
75	5366
75	5367
75	5368
75	5369
76	5036
76	5038
76	12899
76	12900
76	12901
76	12902
76	12903
76	12944
76	25691
76	25692
76	25693
76	25694
76	25747
76	25868
76	25869
76	25870
76	40193
77	5029
77	5032
77	12945
77	12946
77	12947
77	12948
77	12949
77	12950
77	12951
77	12952
77	12953
77	12954
77	13007
77	25691
77	25692
77	25747
77	62044
78	7096
78	22188
78	22190
78	22208
78	46123
78	64542
78	69951
80	5350
80	5351
80	5357
80	5358
80	5360
80	5361
80	5639
80	22156
81	1549
81	26781
81	26782
81	26789
82	1545
82	26779
82	26780
82	26788
84	5390
85	128
86	5483
87	1345
88	5643
89	5503
89	5640
90	5475
90	5577
90	40190
91	5580
95	7086
95	7087
95	10038
95	25536
98	5836
98	10202
99	6220
99	6241
99	6242
99	6954
99	7002
99	9380
99	9952
99	9961
99	13073
99	13074
99	13079
99	13080
99	13083
99	13084
99	13085
99	13089
99	13091
99	13097
99	13098
99	13099
99	13110
99	13111
99	13112
99	13113
99	13114
99	13115
99	13116
99	13117
99	13118
99	13119
99	13120
99	13121
99	13122
99	25691
99	25766
99	34930
99	66772
100	6240
100	7838
100	9412
100	9555
100	13258
100	21804
100	25691
100	25754
100	25755
100	25756
100	25757
100	25758
100	25759
100	25760
100	25761
100	34931
100	64533
100	66772
101	5497
101	5498
101	5499
101	6127
101	6162
101	6225
101	6238
101	9412
101	9447
101	9449
101	13258
101	25691
101	25725
101	25726
101	25727
101	25728
101	25753
101	34931
101	46174
101	46175
101	46176
101	46177
101	66772
102	10197
102	17639
102	17757
102	17787
102	21800
102	22604
102	25688
102	25724
102	26641
102	26642
102	26644
102	26647
102	26650
102	46257
102	65584
102	65585
102	65586
102	65588
104	6111
104	6112
104	6655
104	6656
104	6657
104	6658
104	6659
104	6660
104	7513
104	7529
104	9456
104	11038
104	11048
104	11049
104	46171
104	46172
104	46173
104	64578
105	10068
105	10074
105	10076
105	10086
105	10087
105	10098
105	10099
105	10100
105	19153
105	19154
105	21804
105	22153
105	25714
105	25716
105	25717
105	25718
105	25719
105	25770
105	66702
105	70019
105	72546
105	72749
105	72750
105	75633
105	75634
105	75636
106	6676
106	6677
106	6775
106	6958
106	9472
106	9473
106	9474
106	25723
106	46178
106	46179
106	46180
106	46181
106	66772
107	6305
107	6310
113	6475
115	7642
115	11173
115	11174
115	19550
115	19551
115	19615
115	19616
115	19677
115	19678
115	19721
115	19722
115	19723
115	19724
115	21804
115	25691
117	9433
117	19009
117	19010
117	21804
117	25691
118	6557
118	6558
118	6559
118	6733
118	6734
118	6783
118	6970
118	10290
118	10291
118	19805
118	19806
118	19807
118	21804
118	22153
118	25770
118	37202
118	37203
118	64507
118	66704
118	70018
118	72599
118	72600
118	75634
118	75635
118	75636
118	75645
118	78132
118	78133
119	6740
119	6741
119	6742
119	6743
119	17648
119	17805
119	19103
119	25729
119	25730
119	72749
119	72821
120	6746
120	6747
120	6749
120	6800
120	6808
120	6821
120	6822
120	7716
120	7717
120	7718
120	11153
120	11154
120	11155
120	11156
120	11157
120	11158
120	11159
120	11160
120	11161
120	11162
120	11163
120	11165
120	11166
120	11167
120	19927
120	19928
120	19929
120	19930
120	19931
120	19932
120	19939
120	19940
120	19941
120	19948
120	19949
120	19950
120	21804
120	22609
120	25559
120	25560
120	64531
120	64532
121	6992
123	6997
123	6998
123	7075
123	7077
123	7078
123	7277
123	7280
123	17743
123	17797
123	22152
123	25637
126	4580
126	11894
126	11895
126	17760
126	21475
126	21476
126	21477
126	21804
126	26759
126	40207
126	64503
126	65576
126	66797
126	72545
126	75649
126	78112
127	6924
127	6926
127	7624
127	7625
127	7626
127	7627
127	11368
127	11370
127	11380
127	20007
127	20008
127	20009
127	72514
127	72548
128	6311
128	6312
133	7072
133	7073
133	7074
133	7078
133	7079
135	7064
135	7065
135	66755
135	66811
135	66812
135	66813
135	66814
136	9101
136	9102
136	9103
136	9104
136	9105
136	9106
136	9107
136	9747
136	9749
136	46263
136	66755
137	7064
137	7065
139	7064
139	7065
139	66755
140	7064
140	7065
140	66755
140	66811
140	66812
140	66813
140	75735
140	75736
140	78148
145	7091
145	7094
145	17765
145	78012
146	7091
146	7092
146	7093
146	7094
146	17765
146	17766
146	17781
146	78012
150	7089
150	7090
151	7089
151	7275
151	10038
152	7086
152	7087
153	7095
153	10030
153	10038
153	26745
154	7086
154	7087
154	10758
155	7095
155	10038
155	18652
155	18653
155	18654
155	18655
156	7173
156	7174
156	7175
156	7176
156	7177
156	7178
156	7179
156	7180
156	10045
156	10046
156	10047
156	72596
157	7107
158	7254
158	17792
158	17793
158	17794
158	17795
158	17796
158	22566
158	26775
158	37066
158	37067
158	37068
158	37069
158	37070
158	66746
159	7271
159	7272
159	7276
160	7100
160	10029
160	10038
160	17646
161	7101
161	7102
162	7100
162	10038
163	7100
164	7260
165	7260
167	7274
169	17754
179	7181
179	7182
179	7183
179	7184
179	7185
179	7186
179	7278
179	10197
179	17761
179	17784
203	8234
203	8235
203	8236
203	8713
203	8714
203	8715
203	8716
203	8722
203	8723
203	8725
203	8726
203	8727
203	8728
203	8729
203	8730
203	8731
203	8732
203	8733
203	8738
203	11931
203	11932
203	11933
203	12084
203	12085
203	12102
203	12103
203	12104
203	12106
203	12107
203	12108
203	12109
203	12110
203	12111
203	12112
203	12113
203	12114
203	12115
203	12116
203	12132
203	12133
203	12134
203	12135
203	12137
203	12138
203	12139
203	12140
203	12142
203	12144
203	12145
203	12148
203	12149
203	12150
203	12151
203	12152
203	12153
203	12154
203	12155
203	12156
203	12157
203	12163
203	12165
203	12166
203	12167
203	17674
203	17675
203	20574
203	20575
203	20576
203	22630
203	22631
203	22632
203	22633
203	22634
203	22635
203	22636
203	22637
203	22638
203	22639
203	22640
203	22641
203	22642
203	22643
203	22644
203	22645
203	22646
203	22647
203	22648
203	22649
203	22650
203	22651
203	22652
203	22653
203	22654
203	22655
203	22656
203	22657
203	22658
203	22659
203	22660
203	22661
203	22662
203	22663
203	22664
203	22665
203	22666
203	22667
203	22668
203	22669
203	22670
203	22671
203	22672
203	22673
203	22674
203	25579
203	25580
203	25581
203	25582
203	25583
203	25584
203	25585
203	25586
203	25587
203	25588
203	25589
203	25590
203	25591
203	25592
203	25593
203	25594
203	25595
203	25596
203	25597
203	25598
203	25599
203	25600
203	25601
203	25602
203	25603
203	25604
203	25605
203	25606
203	29414
203	39540
203	39541
203	39546
203	39553
203	39558
203	39564
203	39565
203	39587
203	39589
203	39590
203	39593
203	46186
203	46187
203	46188
203	46189
203	46190
203	46192
203	46193
203	46194
203	46195
203	46196
203	46197
203	46198
203	46199
203	46200
203	46201
203	64257
203	64258
203	64259
203	64504
203	64535
203	66805
203	67004
203	69948
203	69949
203	70098
203	70099
203	72544
203	72908
203	77351
203	77993
203	77994
203	77995
203	77996
203	78109
203	78110
203	222
203	333
203	444
203	555
203	777
203	888
205	8223
205	8224
205	8225
205	8226
205	8227
205	8228
205	8229
205	8230
206	8209
206	8210
206	8211
206	8212
206	11876
206	11877
206	11878
206	11879
206	11881
206	11896
206	11897
206	11898
206	11899
206	11900
206	11901
206	11902
206	11903
206	11904
206	11905
206	11906
206	11907
206	11908
206	11909
206	11910
206	11911
206	11912
206	11913
206	11914
206	11915
206	11916
206	11917
206	11918
206	11919
206	11920
206	11921
206	11922
206	11923
206	11924
206	11925
206	11926
206	11927
206	11928
206	11929
206	11930
206	11941
206	11942
206	11943
206	21698
206	21699
206	21700
206	21706
206	21707
206	21708
206	21712
206	21713
206	21714
206	21758
206	21759
206	21760
206	21781
206	21782
206	21783
206	21804
206	22606
206	22607
206	22608
206	22679
206	22680
206	22681
206	22682
206	25773
206	25774
206	25775
206	25776
206	25778
206	26759
206	26760
206	43970
206	43971
206	64439
206	66779
206	69947
206	75648
206	78111
208	9417
208	9418
208	9419
208	9420
208	9421
209	10031
209	10032
209	10033
209	10034
209	78012
231	9919
231	9920
231	13069
231	17646
232	9575
232	72834
232	72835
233	8176
233	20264
233	21804
234	9885
234	9886
234	9887
235	9922
235	9923
236	8216
236	8217
236	8218
236	8219
236	8220
236	8221
236	8222
236	21804
237	10036
237	10761
237	10762
238	10037
239	10035
239	10761
239	10762
241	9825
242	66216
248	9897
250	9977
252	9410
252	40194
252	40195
253	1746
253	1747
253	7162
253	7163
253	7164
253	10197
253	13014
253	13015
253	13016
253	13017
253	13018
253	17645
253	25691
253	25767
253	25768
254	7157
254	7164
254	10197
254	13019
254	13022
254	13024
254	13027
254	17645
254	25687
254	25691
254	25769
254	37074
254	37075
254	37076
254	37077
254	37078
254	37079
254	37080
254	37081
254	46121
254	66272
254	66753
254	69933
254	69934
254	69935
255	7624
255	7625
255	7626
255	7627
256	9386
257	9978
260	10038
265	10040
265	10784
265	13132
265	13133
266	5641
266	7067
266	10039
266	10040
266	10041
266	10746
266	10763
266	10764
266	10765
266	10790
268	7066
268	7067
268	7068
268	10039
268	10747
268	10750
268	46211
270	10039
270	10743
270	10784
270	10794
270	10799
270	10800
270	10801
270	22156
271	5485
271	7067
271	7068
271	10039
271	10040
271	10041
271	10745
271	10746
271	10749
271	10768
271	10804
271	13260
274	22572
274	22573
274	78012
277	10751
277	10752
277	10755
277	13131
277	25525
277	25637
283	10782
297	10192
297	17787
297	46257
297	46259
297	46260
297	46261
297	46262
297	46264
311	10196
311	17646
321	10203
321	10744
322	10201
322	10202
322	10204
322	10205
334	10743
334	10784
334	10794
334	10795
334	22156
335	10743
335	10784
335	10794
335	10798
335	22156
336	10743
336	10784
336	10794
336	22156
359	10748
359	10785
381	10766
381	10767
381	10768
381	10769
381	10770
381	10772
391	17646
417	10783
418	13262
435	10796
435	22156
436	10743
436	22156
438	10797
438	22156
439	10743
439	10795
439	22156
440	10797
440	22156
442	10796
442	22156
464	17763
471	7514
471	9447
471	9449
471	9451
471	11019
471	11020
471	11024
471	11032
471	11044
471	17643
471	17767
471	66656
473	10996
473	10997
473	10998
473	10999
473	11000
473	11001
473	22609
473	25722
473	37118
474	11063
474	11067
474	17642
474	21804
474	25721
474	65591
474	72589
474	72590
474	72673
474	72674
474	75617
474	75618
474	75619
474	75827
474	78129
474	78164
479	13055
479	17646
479	17767
479	25691
480	9373
480	13082
480	17767
480	25691
481	13101
481	17767
481	25691
482	17644
482	17767
482	25691
482	64547
483	6159
483	6852
483	6853
483	9283
483	9870
483	13041
483	13042
483	13044
483	13046
483	17646
483	17767
483	18412
483	18413
483	25691
483	66216
484	6143
484	6568
484	6757
484	7145
484	7146
484	7147
484	9251
484	13036
484	13037
484	13038
484	17643
484	17646
484	17767
484	25691
485	6192
485	6843
485	6934
485	9921
485	13066
485	17767
485	18422
485	25691
485	66901
485	70099
486	13108
486	13109
486	25691
487	13092
487	13093
487	13094
487	13095
487	13096
487	25687
487	25691
488	13086
488	13087
489	11882
489	11883
489	11886
489	11887
489	11890
489	11891
489	11892
